Dam Name,eap,status,hazard,county,lat,lng,river_stream,basin,nearest_town,distance_to_town,year,type_modify_repair,modify_year,structural_height,pool_cap,max_impound,condition,icon,last_inspection,next_inspection,owner,owner_type
Fernhill Pond Dam,Y,IMPOUNDING,High,Mecklenburg,35.1498,-80.8880,Kings Branch-Tr,Catawba,Charlotte,,,Repair,2009,33.9,44 ,54 ,Fair,greenRound, 11/20/2014, 11/19/2015,Fernhill HOA of Charlotte NC,Private
Cobblestone Dam,Y,IMPOUNDING,High,Mecklenburg,35.04129,-80.83250,Mcalpine-Os,Catawba,Charlotte,,,,,22.0,16 ,17 ,Fair,greenRound, 10/14/2014, 12/10/2015,Cobblestone HOA,Private
Cottonwood Dam,Y,IMPOUNDING,High,Mecklenburg,35.098,-80.807,Mcalpine Creek-Tr,Catawba,Charlotte,,,,,15.0,14 ,8 ,Fair,greenRound, 12/16/2014, 12/16/2015,Gordon & Caralea Macallister,Private
Arnold Palmer Dam,Y,IMPOUNDING,High,Mecklenburg,35.19722,-80.80417,Briar Creek-Tr,Catawba,Charlotte,,1987 ,Modify,1995,23.4,,9 ,Fair,greenRound, 12/04/2014, 12/17/2015,"Latrobe Property Owners Assoc. II, Inc",Private
Clarks Creek Subdivision Dam,N,IMPOUNDING,High,Mecklenburg,35.43028,-80.81778,North Prong Clarks Creek,Yadkin-PeeDee,Huntersville,,1996 ,,,26.0,228 ,228 ,Fair,greenRound, 12/02/2014, 12/01/2015,"NorthStone Country Club, LLC",Private
Ballantrae At Piper Glen,N,IMPOUNDING,High,Mecklenburg,35.08111,-80.82083,Fourmile Creek-Tr,Catawba,Charlotte,,,,,15.4,8 ,8 ,Fair,greenRound, 10/15/2014, 12/10/2015,"Ballantrae @ Piper Glen Homeowners Assn, Inc.",Private
Jordan Dam,N,IMPOUNDING,High,Mecklenburg,35.29194,-80.93444,Gum Branch-Tr,Catawba,Charlotte,,,,,19.0,,16 ,Fair,greenRound, 12/03/2014, 12/13/2015,Jordan Pond Owner's Association,Private
University Place On The Green Dam,N,IMPOUNDING,High,Mecklenburg,35.31639,-80.74417,Mallard Creek-Tr,Yadkin-PeeDee,Charlotte,,1997 ,,,17.0,6 ,12 ,Fair,greenRound, 11/18/2014, 12/04/2015,Colonial Grand at Mallard Lake,Private
Peter's Lake Dam At The Villas,Y,IMPOUNDING,High,Mecklenburg,35.03556,-80.78139,Sixmile Creek-Tr,Catawba,Charlotte,,,,,11.2,22 ,26 ,Fair,greenRound, 10/14/2014, 11/21/2015,"Vanderbilt at Providence HOA, Inc.",Private
Carson Pond Dam,N,IMPOUNDING,High,Mecklenburg,35.09472,-80.80833,Mcalpine Creek-Tr,Catawba,Charlotte,5 ,,,,17.6,18 ,18 ,Satisfactory,greenRound, 12/16/2014, 12/16/2015,Carson Pond Homeowners Association Inc.,Private
Lakeview Dam At Faires Farm,N,IMPOUNDING,High,Mecklenburg,35.29760,-80.72135,Back Creek-Tr,Yadkin-PeeDee,Charlotte,5 ,,,,11.5,,11 ,Fair,greenRound, 11/21/2014, 11/12/2015,Lakeview At Faires Farm Homeowners Association Inc,Private
Sir John'S Hill Dam,N,IMPOUNDING,High,Mecklenburg,35.14094,-80.81824,Mcmullen Creek-Tr,Catawba,Charlotte,,,,,7.9,,1 ,Fair,greenRound, 12/04/2014, 12/18/2015,Sir John'S Hill Homeowners Associatio,Private
Pierson Pond Dam,Y,IMPOUNDING,High,Mecklenburg,35.20194,-80.77028,Brier Creek-Tr,Catawba,Charlotte,,,Repair,1998,17.1,5 ,9 ,Fair,greenRound, 01/08/2015, 01/08/2016,Lisa V. Magee,Private
Lakepointe Corporate Center Dam,N,IMPOUNDING,High,Mecklenburg,35.2006,-80.9181,King'S Branch-Tr,Catawba,Charlotte,,1999 ,,,38.0,5 ,10 ,Satisfactory,greenRound, 01/16/2014, 12/16/2015,"CK Lakepointe Corporate Center, LLC",Private
Page's Pond Dam,N,IMPOUNDING,High,Mecklenburg,35.45889,-80.80833,South Prong-Tr,Yadkin-PeeDee,Davidson,,,,,24.5,,26 ,Fair,greenRound, 12/02/2014, 12/13/2015,Page's Pond Homeowners Assoc,Private
Symphony Park Dam,Y,IMPOUNDING,High,Mecklenburg,35.156,-80.8353,Brier Creek-Tr,Catawba,Charlotte,,2002 ,,,40.0,11 ,23 ,Satisfactory,greenRound, 01/06/2015, 01/01/2016,Southpark Mall Limited Partnership,Private
Winery Lane Dam,N,IMPOUNDING,High,Mecklenburg,35.2014,-80.7199,McAlpine Creek - tributary,Catawba,Charlotte,,,,,9.3,0 ,7 ,Fair,greenRound, 01/08/2015, 01/08/2016,Lawyers Road Professional Park Inc,Private
Berewick Farm Pond Dam #2,Y,IMPOUNDING,High,Mecklenburg,35.1639,-80.9868,Beaverdam Creek - Trib.,Catawba,,,2006 ,,,15.2,6 ,15 ,Fair,greenRound, 11/20/2014, 11/08/2015,"Berewick Homeowners Association, Inc.",Private
Carolina Golf and Country Club Irrigation Dam,Y,IMPOUNDING,High,Mecklenburg,35.2145,-80.8969,Irwin Creek - Trib.,Catawba,,,2007 ,,,26.9,66 ,110 ,Satisfactory,greenRound, 01/15/2015, 01/16/2016,Carolina Golf Club,Private
Resource Square WQ Pond Dam,N,IMPOUNDING,High,Mecklenburg,35.3319,-80.7700,Mallard Creek -- TR,Yadkin-PeeDee,Charlotte,,,,,21.0,9 ,25 ,Fair,greenRound, 11/21/2014, 12/04/2015,"Crescent Resources, LLC",Private
Eastfield Station Dam,N,IMPOUNDING,High,Mecklenburg,35.3565,-80.8172,,Yadkin-PeeDee,,,,,,14.0,0 ,17 ,Fair,greenRound, 11/26/2014, 12/17/2015,Gandy Communities,Private
Swiss Pine Lake Dam,Y,IMPOUNDING,High,Mitchell,35.89447,-82.07652,Graveyard Creek,French Broad,Spruce Pine,2 ,1961 ,Repair,2009,35.0,87 ,124 ,Satisfactory,greenRound, 03/03/2015, 03/03/2016,Swiss Pine Lake Corporation,Private
Unimin Hawkins Sediment Basin 4,Y,IMPOUNDING,High,Mitchell,35.93605,-82.08485,offstream,French Broad,Spruce Pine,,2009 ,,,30.0,10 ,15 ,Satisfactory,greenRound, 04/01/2015, 04/01/2016,Unimin Corporation,Private
Roddy Dam,N,IMPOUNDING,High,Buncombe,35.6984,-82.5901,Reems Creek-Tr,French Broad,Alexander,3 ,,,,18.5,7 ,10 ,Poor,redRound, 02/25/2015, 02/25/2016,Alpine Meadows Family Partnership,Private
Swan Lake Dam,N,IMPOUNDING,High,Moore,35.1903,-79.382,Aberdeen Creek,Cape Fear,Southern Pines,,,,,12.0,18 ,24 ,Fair,greenRound, 01/30/2015, 01/30/2016,Deborah Williams & Lanny Johnson & Others,Private
Firestone Pond Dam,N,IMPOUNDING,High,Moore,35.16722,-79.34778,James Creek-Tr,Cape Fear,,,,Repair,1992,17.0,14 ,20 ,Fair,greenRound, 01/30/2015, 01/30/2016,Christopher F. And Kathy A. Virtue,Private
Simpson Lake Dam,N,IMPOUNDING,High,Moore,35.191,-79.143,Little River-Tr,Cape Fear,Pope Air Force Base,6 ,1953 ,,,24.0,144 ,151 ,Fair,greenRound, 07/16/2015, 07/17/2016,George Simpson,Private
Eighteenth Fairway Dam,Y,IMPOUNDING,High,Moore,35.18611,-79.42361,Aberdeen Creek,Lumber,Aberdeen,3 ,1960 ,,,28.0,42 ,93 ,Fair,greenRound, 07/30/2015, 07/30/2016,"Mid Tal Golf, LLC",Private
Watson Lake Dam #1,N,IMPOUNDING,High,Moore,35.152,-79.436,Aberdeen Creek,Lumber,Aberdeen,2 ,1928 ,,,25.0,389 ,579 ,Fair,greenRound, 09/10/2015, 09/20/2016,George Thompson,Private
Spring Valley Lake Dam,Y,IMPOUNDING,High,Moore,35.2594,-79.3835,Little River-Tr,Cape Fear,Whispering Pines,,1962 ,,,42.0,1448 ,1880 ,Fair,greenRound, 09/23/2015, 09/23/2016,Village Of Whispering Pines,Private
Pine Lake Dam,Y,IMPOUNDING,High,Moore,35.257,-79.369,Little River-Tr,Cape Fear,Whispering Pines,,1967 ,Repair,2009,35.0,2600 ,3080 ,Fair,greenRound, 09/10/2015, 09/10/2016,Village Of Whispering Pines,Private
Warrior Lake Dam,N,IMPOUNDING,High,Moore,35.225,-79.382,Mill Creek,Cape Fear,Lakeview,5 ,1965 ,,,20.0,256 ,265 ,Fair,greenRound, 07/16/2015, 07/16/2016,"Pinehurst Area Realty, Mrs.Robert Kramer",Private
Thurlow Lake Dam,N,IMPOUNDING,High,Moore,35.278,-79.285,Crane Ck-Os,Cape Fear,Vass,3 ,1956 ,,,38.0,396 ,420 ,Fair,greenRound, 07/16/2015, 07/16/2016,James William Ring,Private
Crystal Lake Dam,N,IMPOUNDING,High,Moore,35.24,-79.306,Mill Creek,Cape Fear,Lakeview,1 ,1902 ,,,16.0,270 ,385 ,Fair,greenRound, 11/13/2014, 11/13/2015,"Crystal Lake Support, Inc.",Private
Whitney Dam,N,IMPOUNDING,High,Swain,35.38678,-83.36806,Connelly Creek,Little Tennessee,Bryson City,7 ,,,,31.0,7 ,10 ,Poor,redRound, 01/29/2015, 01/29/2016,Peter Hooper,Private
Boy Scouts Of America Dam Lower,N,IMPOUNDING,High,Moore,35.33207,-79.54572,Suck Creek,Cape Fear,Carbonton,22 ,1966 ,,,36.0,528 ,634 ,Fair,greenRound, 08/18/2015, 08/18/2016,Boy Scouts Of America,Private
Harris Lake Dam #1,N,IMPOUNDING,High,Moore,35.308,-79.695,Mill Creek-Os,Cape Fear,Robbins,15 ,1955 ,,,22.0,92 ,110 ,Fair,greenRound, 01/28/2015, 01/28/2016,Patricia Harris Batten,Private
Seven Lakes Dam #1,Y,IMPOUNDING,High,Moore,35.2786,-79.5743,Big Juniper Creek,Cape Fear,Lillington,63 ,1973 ,Repair,2006,56.0,841 ,1115 ,Fair,greenRound, 07/16/2015, 07/21/2016,Seven Lakes Landowners Assoc.,Private
Seven Lakes Dam #2,N,IMPOUNDING,High,Moore,35.284,-79.558,Big Juniper Creek,Cape Fear,Lillington,63 ,1973 ,,,54.0,2726 ,3412 ,Fair,greenRound, 01/21/2015, 01/21/2016,Seven Lakes Landowners Assoc.,Private
Seven Lakes Dam #3,N,IMPOUNDING,High,Moore,35.2775,-79.55667,Big Juniper Creek-Tr,Cape Fear,Lillington,63 ,,,,44.0,384 ,422 ,Fair,greenRound, 01/28/2015, 01/24/2016,Seven Lakes Landowners Assoc.,Private
Seven Lakes Dam #4,N,IMPOUNDING,High,Moore,35.27861,-79.56806,Big Juniper Creek,Cape Fear,Lillington,63 ,,,,44.0,219 ,317 ,Fair,greenRound, 01/21/2015, 01/21/2016,Seven Lakes Landowners Assoc.,Private
Watson Lake Dam #2,N,IMPOUNDING,High,Moore,35.166,-79.435,Aberdeen Creek,Lumber,Aberdeen,,,,,18.0,196 ,252 ,Fair,greenRound, 09/10/2015, 09/10/2016,Country Club Of N.C.,Private
"Pinehurst Gc #6, Dam #2",Y,IMPOUNDING,High,Moore,35.21452,-79.44222,Nick'S Creek-Tr,Cape Fear,,,,,,19.0,28 ,38 ,Fair,greenRound, 07/14/2015, 07/14/2016,"Pinehurst  , LLC",Private
Lake Pinehurst Dam,Y,IMPOUNDING,High,Moore,35.165,-79.493,Horse Creek,Lumber,,,,,,48.0,2500 ,3050 ,Fair,greenRound, 09/10/2015, 09/10/2016,Resorts Of Pinehurst,Private
Pinehurst Gc#6 Dam#3,Y,IMPOUNDING,High,Moore,35.212,-79.446,Nick'S Creek-Tr,Cape Fear,Whispering Pines,,,,,33.0,112 ,120 ,Fair,greenRound, 09/10/2015, 09/10/2016,Pinehurst Inc.,Private
Pinebrook-Pinehurst Unit 14,Y,IMPOUNDING,High,Moore,35.22646,-79.44447,Juniper Creek Trib,Cape Fear,Whispering Pines,4 ,,,,19.0,60 ,76 ,Fair,greenRound, 07/14/2015, 07/14/2016,"Pinehurst  , LLC",Private
Pinewild Lake Dam,N,IMPOUNDING,High,Moore,35.206,-79.494,Joe'S Fork Creek-Tr,Cape Fear,,,,,,29.0,340 ,430 ,Fair,greenRound, 07/14/2015, 07/14/2016,"Pinewild Proj Ltd Partnership, Attn: Koichi Sato",Private
Browns Lake Dam,N,IMPOUNDING,High,Macon,35.02738,-83.30640,Middle Creek,Little Tennessee,Scaly Mountain,2 ,,,,22.5,6 ,27 ,Poor,redRound, 08/05/2014, 08/05/2016,Robert Shifrin,Private
John Garner Pond Dam,N,IMPOUNDING,High,Moore,35.21167,-79.61972,Jackson Creek-Tr,Lumber,Jackson Springs,1 ,1989 ,Repair,1990,14.0,9 ,12 ,Fair,greenRound, 01/28/2015, 01/28/2016,John Garner,Private
Bibey Pond Dam #1,N,IMPOUNDING,High,Moore,35.262,-79.364,Little River-Tr,Cape Fear,Whispering Pines,2 ,,,,18.0,6 ,7 ,Fair,greenRound, 01/16/2015, 01/16/2016,Jerry Bibey,Private
Bibey Pond Dam #2,N,IMPOUNDING,High,Moore,35.261,-79.364,Little River-Tr,Cape Fear,Whispering Pines,,,,,15.0,2 ,5 ,Fair,greenRound, 01/16/2015, 01/15/2016,Jerry Bibey,Private
Pinesage Lake Dam,N,IMPOUNDING,High,Moore,35.22083,-79.50778,Nick'S Creek-Tr,Cape Fear,Pinehurst,,1996 ,,,19.0,20 ,27 ,Fair,greenRound, 07/14/2015, 07/14/2016,Pinesage Landowner Association,Private
Mcneil Lake Dam,N,IMPOUNDING,High,Moore,35.22611,-79.28278,Little River-Trib,Cape Fear,Spring Lake,,,,,18.0,11 ,20 ,Fair,greenRound, 01/09/2015, 11/17/2015,Belinda Mcneil,Private
Lake Auman Dam,Y,IMPOUNDING,High,Moore,35.23833,-79.60306,Jackson,Lumber,Jackson Springs,2 ,1979 ,Repair,1996,93.0,23953 ,28014 ,Fair,greenRound, 07/30/2015, 10/15/2015,Seven Lakes West Landowners Association,Private
Mclendon Creek Dam,Y,IMPOUNDING,High,Moore,35.28314,-79.59274,Mclendon Creek,Cape Fear,West End,5 ,2000 ,,,70.0,2852 ,3220 ,Fair,greenRound, 01/28/2015, 01/28/2016,Tom Carr,Private
Melrose Mountain Dam #2,Y,IMPOUNDING,High,Polk,35.20841,-82.29455,UT to Big Falls Creek (Trout),Broad,Valhalla,1 ,1972 ,,,47.0,118 ,157 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,"Melrose Mountain POA, Inc.",Private
Melrose Mountain Dam #1,Y,IMPOUNDING,High,Polk,35.20576,-82.29404,UT to Big Falls Creek (Trout),Broad,Valhalla,1 ,1972 ,,,45.0,31 ,52 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,"MRM Property Owners Association, Inc.",Private
Mahler's Pond Dam,N,IMPOUNDING,High,Polk,35.20738,-82.19025,UT to Wolfe Creek,Broad,"Fingerville, SC",15 ,1965 ,,,30.0,65 ,110 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,"Chinquapin Management, Inc., Chin. Tyron Farms, LP",Private
Derbyshire Dam,Y,IMPOUNDING,High,Polk,35.24105,-82.09887,Hughes Creek,Broad,Collinsville,2 ,,Repair,2012,38.0,99999 ,99999 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,"Byana, LLC",Private
White Oak Mtn. Dam #1,N,IMPOUNDING,High,Polk,35.27357,-82.21592,Horse Creek,Broad,Columbus,2 ,,,,22.0,16 ,37 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,"White Oak Mtn Assoc, Inc.",Private
White Oak Mtn. Dam #2,N,IMPOUNDING,High,Polk,35.27472,-82.21682,Horse Creek,Broad,Columbus,2 ,,,,21.4,17 ,39 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,"White Oak Mtn Assoc, Inc.",Private
White Oak Mtn. Dam #4,N,IMPOUNDING,High,Polk,35.27713,-82.21870,Horse Creek,Broad,Columbus,2 ,,,,20.0,10 ,22 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,"White Oak Mtn Assoc, Inc.",Private
Robin Smith Dam,Y,IMPOUNDING,High,Polk,35.21197,-82.28083,UT to Little Fall Creek (TR),Broad,,,2002 ,,,49.5,0 ,119 ,Satisfactory,greenRound, 03/02/2015, 03/02/2016,Dean Hotsinpiller,Private
Schoonbeck Lake Dam,N,IMPOUNDING,High,Randolph,35.69,-80.01583,Jackson Creek-Tr,Yadkin-PeeDee,Jackson Creek,1 ,1965 ,,,39.0,156 ,190 ,Fair,greenRound, 11/19/2013, 11/19/2015,Lloyd M. & Delia K. Higgins,Private
Colonial Ctr. Club Dam Lower,Y,IMPOUNDING,High,Randolph,35.882,-80.032,Uwharrie River-Tr,Yadkin-PeeDee,Trinity,2 ,1996 ,,,28.0,155 ,212 ,Satisfactory,greenRound, 11/14/2013, 11/14/2015,Colonial Country Club,Private
King Dam,N,IMPOUNDING,High,Randolph,35.59583,-79.80889,Reed Creek-Tr,Yadkin-PeeDee,Asbury,11 ,,,,18.6,46 ,50 ,Satisfactory,greenRound, 10/29/2014, 10/29/2016,Don King,Private
Shaw-Hudson Lake Dam,N,IMPOUNDING,High,Randolph,35.651,-79.757,Richland Creek-Tr,Cape Fear,Highfalls,28 ,1970 ,,,22.0,40 ,50 ,Satisfactory,greenRound, 11/24/2014, 11/24/2016,Reid Shaw,Private
Farlow Lake Dam,N,IMPOUNDING,High,Randolph,35.643,-79.802,North Prong Richland Creek,Cape Fear,Highfalls,29 ,1955 ,,,21.0,112 ,134 ,Satisfactory,greenRound, 11/24/2014, 11/24/2016,Farlow Park Homeowners Association,Private
Asheboro Country Club Lake Dam,N,IMPOUNDING,High,Randolph,35.723,-79.923,Caraway Creek-Tr,Yadkin-PeeDee,Farmer,8 ,1947 ,,,30.0,189 ,273 ,Satisfactory,greenRound, 01/15/2014, 01/15/2016,Asheboro Country Club,Private
Beard Lake Dam,N,IMPOUNDING,High,Randolph,35.831,-79.936,Caraway Creek-Tr,Yadkin-PeeDee,Flint Hill,3 ,1965 ,,,19.0,48 ,58 ,Satisfactory,greenRound, 01/30/2014, 01/30/2016,William & Karen Brown,Private
Richardson Lake Dam,N,IMPOUNDING,High,Randolph,35.77028,-79.80361,Hasketts Creek-Tr,Cape Fear,Worthville,1 ,1951 ,,,15.0,42 ,45 ,Satisfactory,greenRound, 01/21/2014, 01/21/2016,"Waterford RE, LLC",Private
Overman Lake Dam,N,IMPOUNDING,High,Randolph,35.827,-79.551,Rocky River-Tr,Cape Fear,Siler City,12 ,1960 ,,,21.3,138 ,167 ,Satisfactory,greenRound, 10/23/2014, 10/23/2016,Kim Griffin,Private
Bouldin Dam,N,IMPOUNDING,High,Randolph,35.90028,-79.96806,Muddy Creek-Tr,Cape Fear,Archdale,,1956 ,,,15.0,45 ,54 ,Satisfactory,greenRound, 11/14/2013, 11/14/2015,"Quaker Lake Village HOA, Inc.",Private
King Lake Dam,N,IMPOUNDING,High,Randolph,35.906,-79.923,Muddy Creek-Tr,Cape Fear,Randleman,11 ,1964 ,,,26.0,44 ,53 ,Satisfactory,greenRound, 11/06/2014, 11/06/2016,Mary K. Sherman,Private
Dodson Lake Dam,N,IMPOUNDING,High,Randolph,35.87543,-79.63039,Sandy Creek-Tr,Cape Fear,Ramseur,8 ,1948 ,Repair,2010,21.0,418 ,502 ,Satisfactory,greenRound, 12/17/2013, 12/17/2015,Dexter Blakley,Private
Ingold Dam,N,IMPOUNDING,High,Randolph,35.75444,-79.88,Back Creek-Tr,Yadkin-PeeDee,Asheboro,3 ,,,,16.6,15 ,23 ,Satisfactory,greenRound, 02/04/2014, 02/04/2016,Wayland S Ingold,Private
Woodman Dam,N,IMPOUNDING,High,Randolph,35.782,-79.785,Deep River-Tr,Cape Fear,Cenral Falls,3 ,,,,16.0,14 ,22 ,Satisfactory,greenRound, 11/13/2014, 11/13/2016,R.C. Cliff Payne Woodmen Youth Camp,Private
Upper Toms Creek Nursery Dam,N,IMPOUNDING,High,Randolph,35.64889,-79.985,Toms Ck-Tr,Yadkin-PeeDee,Farmer,1 ,,,,19.1,10 ,19 ,Satisfactory,greenRound, 11/19/2013, 11/19/2015,J H Henson,Private
Middle Toms Creek Nursery Dam,N,IMPOUNDING,High,Randolph,35.648,-79.985,Toms Ck-Tr,Yadkin-PeeDee,Farmer,1 ,,,,20.9,10 ,20 ,Satisfactory,greenRound, 11/19/2013, 11/19/2015,J H Henson,Private
Lower Toms Creek Nursery Dam,N,IMPOUNDING,High,Randolph,35.64639,-79.98694,Toms Creek-Tr,Yadkin-PeeDee,Farmer,1 ,,,,20.1,20 ,29 ,Satisfactory,greenRound, 11/19/2013, 11/19/2015,J H Henson,Private
Pinewood Country Club Dam,N,IMPOUNDING,High,Randolph,35.62,-79.817,North Prong Richland Ck,Cape Fear,,,,,,18.0,29 ,34 ,Satisfactory,greenRound, 10/29/2014, 10/29/2015,Klaussner Investment Corporation,Private
Fox Dam,N,IMPOUNDING,High,Randolph,35.712,-79.889,Back Ck-Tr,Yadkin-PeeDee,Farmer,8 ,,,,22.5,36 ,50 ,Satisfactory,greenRound, 12/15/2014, 12/15/2016,David and Judith Butler,Private
Holly Ridge Golf Links Dam No. 1,N,IMPOUNDING,High,Randolph,35.85944,-79.89833,Muddy Creek-Tr,Cape Fear,Randleman,8 ,1994 ,,,19.0,88 ,120 ,Satisfactory,greenRound, 11/12/2014, 11/12/2016,"Holly Ridge Golf Links, Inc.",Private
Bullins Lake Dam,N,IMPOUNDING,High,Randolph,35.7309,-79.7943,Penwood Branch Trib,Cape Fear,Asheboro,2 ,,,,18.0,9 ,11 ,Satisfactory,greenRound, 12/22/2014, 12/22/2016,James E. Jr. & Laristine Bullins,Private
Randleman Dam,Y,IMPOUNDING,High,Randolph,35.8344,-79.8131,Deep River,Cape Fear,Randleman,1 ,2002 ,,,102.0,93600 ,121200 ,Satisfactory,greenRound, 01/28/2015, 01/28/2017,Piedmont Triad Regional Water Authority,Private
Richmond Community College Dam,N,IMPOUNDING,High,Richmond,34.9075,-79.7111,Falling Creek-Os,Yadkin-PeeDee,Rockingham,5 ,1948 ,Repair,1995,18.0,144 ,233 ,Fair,greenRound, 02/09/2015, 02/01/2016,Richmond Technical Community College,Private
Widenhouse Dam,N,IMPOUNDING,High,Swain,35.44593,-83.40660,Galbraith Creek-Trib,Little Tennessee,Bryson City,6 ,,,,31.2,6 ,7 ,Poor,redRound, 01/29/2015, 01/29/2016,Ernest C Widenhouse,Private
Ledbetter Lake Dam,Y,IMPOUNDING,High,Richmond,34.9847,-79.7146,Hitchcock Creek,Yadkin-PeeDee,Ledbetter,,1880 ,,,35.0,5000 ,8100 ,Unsatisfactory,redRound, 02/09/2015, 02/01/2016,"Ledbetter Lake Management, Inc",Private
Grogan Estate Lake Dam,N,IMPOUNDING,High,Rockingham,36.409,-79.991,Big Beaver Island Creek-Tr,Roanoke,Madison,,1958 ,,,20.0,50 ,56 ,Satisfactory,greenRound, 02/25/2015, 02/25/2016,James Mark Lasley,Private
Young Lake Dam,N,IMPOUNDING,High,Rockingham,36.461,-79.863,Buffalo Creek-Tr,Roanoke,Eden,5 ,1965 ,,,20.0,43 ,52 ,Satisfactory,greenRound, 01/15/2015, 01/15/2016,Samuel H. & Patsy M. Young,Private
John Smith Lake Dam,N,IMPOUNDING,High,Rockingham,36.485,-79.795,Matrimony Cr.-Tr,Roanoke,Eden,1 ,1962 ,,,22.9,51 ,58 ,Satisfactory,greenRound, 01/15/2015, 01/15/2016,Robert (Bob) G Simyon,Private
Lake Hazel Dam,N,IMPOUNDING,High,Rockingham,36.393,-79.709,Carroll Creek,Roanoke,Reidsville,4 ,1962 ,,,22.2,136 ,195 ,Satisfactory,greenRound, 01/22/2015, 01/22/2016,NC Cooperative Extension Service,Private
Southern C's Farm Lake Dam,N,IMPOUNDING,High,Rockingham,36.27833,-79.86722,Troublesome Creek-Tr,Cape Fear,Wittys Crossroads,1 ,1970 ,,,20.0,86 ,114 ,Satisfactory,greenRound, 12/08/2011, 12/08/2015,Lee Carter,Private
Jack Neal Dam,N,IMPOUNDING,High,Rockingham,36.291,-79.944,Hogans Creek-Tr,Roanoke,Eden,24 ,1979 ,,,18.8,8 ,12 ,Satisfactory,greenRound, 12/03/2014, 12/03/2015,Terry Birch Neal,Private
Lake Miller Dam,N,IMPOUNDING,High,Rockingham,36.525,-79.706,Dry Creek-Tr,Roanoke,Eden,,,,,16.0,91 ,147 ,Satisfactory,greenRound, 02/25/2015, 02/25/2016,"Miller Coors, LLC",Private
Ed Wilkins Dam,Y,IMPOUNDING,High,Rockingham,36.32611,-79.69389,Troublesome Crk.-Tr,Cape Fear,,,1987 ,,,24.2,37 ,62 ,Satisfactory,greenRound, 02/04/2015, 02/04/2016,"Ashcroft Lake Association, Inc.",Private
Newman-Bowman Dam,N,IMPOUNDING,High,Rockingham,36.326,-79.673,Troublesome Creek-Tr,Cape Fear,,,,,,17.5,12 ,17 ,Satisfactory,greenRound, 02/04/2015, 02/04/2016,Bruce E & Ila May Bowman,Private
Greensboro National Golf Course Dam #1,Y,IMPOUNDING,High,Rockingham,36.26333,-79.82583,Haw River - Tr,Cape Fear,,,1994 ,,,20.1,14 ,17 ,Satisfactory,greenRound, 11/21/2013, 11/21/2015,"Greensboro National Golf Club, LLC",Private
Greensboro National Golf Course Dam #2,Y,IMPOUNDING,High,Rockingham,36.2611,-79.8208,Haw River - Tr,Cape Fear,,,1995 ,,,24.0,8 ,11 ,Satisfactory,greenRound, 11/21/2013, 11/21/2015,"Greensboro National Golf Club, LLC",Private
Fishers Lake Dam,N,IMPOUNDING,High,Haywood,35.5106,-82.8167,Unnamed Tributary to Garden Cr,French Broad,Canton,,1920 ,,,15.0,5 ,6 ,Poor,redRound, 02/04/2015, 02/04/2016,Sonya F Mann,Private
Alpine Lake Dam,Y,IMPOUNDING,High,Rowan,35.59583,-80.48778,Alpine Branch,Yadkin-PeeDee,Salisbury,5 ,1962 ,,,14.9,31 ,41 ,Fair,greenRound, 02/06/2015, 02/06/2016,Thomas A. Bryan,Private
Waller Dam,N,IMPOUNDING,High,Rowan,35.73139,-80.61111,Second Creek-Tr,Yadkin-PeeDee,,,,,,20.0,4 ,28 ,Fair,greenRound, 02/06/2015, 02/06/2016,Thomas Waller Family Trust,Private
Holden Dam,N,IMPOUNDING,High,Caldwell,35.9195,-81.6462,unname trib to Mulberry,Catawba,Colletsville,2 ,0 ,,,25.1,3 ,3 ,Poor,redRound, 03/03/2015, 03/03/2016,David L Holden,Private
Howard Hensley Dam,N,IMPOUNDING,High,Rowan,35.57944,-80.67417,Kerr Creek-Tr,Yadkin-PeeDee,,,1983 ,,,30.2,61 ,79 ,Fair,greenRound, 03/17/2015, 03/17/2016,Estate of Howard Hensley,Private
Stricklin Dam,N,IMPOUNDING,High,Rowan,35.62444,-80.65306,Kerr Creek - Tr,Yadkin-PeeDee,Millbridge,3 ,,,,23.0,61 ,73 ,Satisfactory,greenRound, 01/27/2015, 01/27/2016,Waymond L Stricklin,Private
Lott Dam,N,IMPOUNDING,High,Swain,35.30584,-83.60356,Big Creek,Little Tennessee,Wesser,3 ,1980 ,,,23.0,3 ,3 ,Poor,redRound, 01/30/2015, 01/30/2016,Ronald and Lena Lott,Private
Camp Occoneechee Dam,N,IMPOUNDING,High,Rutherford,35.40897,-82.20022,Cane Creek,Broad,Lake Lure,1 ,1927 ,,,23.5,115 ,138 ,Fair,greenRound, 02/27/2015, 02/27/2016,"Eagle Camp, LLC",Private
Murray Hilton Lake Dam,Y,IMPOUNDING,High,Rutherford,35.5044,-81.7966,South Creek,Broad,South Creek,19 ,1963 ,,,50.0,228 ,274 ,Fair,greenRound, 04/09/2015, 04/09/2016,"Girl Scouts Carolina Peaks to Piedmont, Inc.",Private
